timestamp,error_x,error_y,pan_angle,tilt_angle,delta_pan,delta_tilt
1770649084.669818,-103,-45,93,88.05,3,-1.9493
1770649084.9179173,0,0,93,88.05,0,0
1770649085.168449,0,-43,90,86.84,-3,-1.2098
1770649085.4180617,0,-39,90.0,85.99,-0.0,-0.8497
1770649085.6683822,-28,-38,93.0,84.93,3,-1.0601
1770649085.918238,0,0,93.0,84.93,0,0
1770649086.1683362,0,0,93.0,84.93,0,0
1770649086.4183683,0,0,93.0,84.93,0,0
1770649086.6686223,0,26,92.44,86.99,-0.5599,2.0597
1770649086.9184806,0,0,92.44,86.99,0,0
1770649087.1685212,0,0,92.44,86.99,0,0
1770649087.4186966,0,0,92.44,86.99,0,0
1770649087.6704264,0,0,92.44,86.99,0,0
1770649087.9202237,0,0,92.44,86.99,0,0
1770649088.1706653,0,-45,92.44,84.7,-0.0,-2.2954
1770649088.420723,0,-59,92.44,81.81,-0.0,-2.8896
1770649088.670882,0,-52,92.44,80.81,-0.0,-1.0004
1770649088.9206812,0,0,92.44,80.81,0,0
1770649089.1710098,-63,-70,95.44,77.99,3,-2.8198
1770649089.4210691,30,-55,92.44,77.54,-3,-0.4503
1770649089.6712146,-51,-44,95.44,77.1,3,-0.4404
1770649089.920952,0,0,95.44,77.1,0,0
1770649090.1709185,0,0,95.44,77.1,0,0
1770649090.4211376,0,0,95.44,77.1,0,0
1770649090.6715267,153,35,92.44,79.72,-3,2.6295
1770649090.9219038,158,37,89.44,80.99,-3,1.2697
1770649091.171692,161,38,86.44,82.21,-3,1.2201
1770649091.421753,146,38,83.44,83.35,-3,1.14
1770649091.6718695,121,38,81.81,84.49,-1.6309,1.14
1770649091.9218264,113,31,79.06,84.86,-2.7499,0.3699
1770649092.1719687,80,0,79.3,82.39,0.2385,-2.4786
1770649092.421792,0,0,79.3,82.39,0,0
1770649092.6718612,0,0,79.3,82.39,0,0
1770649092.9219012,0,0,79.3,82.39,0,0
1770649093.1720722,0,0,79.3,82.39,0,0
1770649093.4221835,0,0,79.3,82.39,0,0
1770649093.6722624,0,0,79.3,82.39,0,0
1770649093.9222908,0,0,79.3,82.39,0,0
1770649094.172262,0,0,79.3,82.39,0,0
1770649094.422273,0,0,79.3,82.39,0,0
1770649094.6724658,0,0,79.3,82.39,0,0
1770649094.9226356,0,0,79.3,82.39,0,0
1770649095.1727104,0,0,79.3,82.39,0,0
1770649095.4226263,0,0,79.3,82.39,0,0
1770649095.672849,0,0,79.3,82.39,0,0
1770649095.9227278,0,0,79.3,82.39,0,0
1770649096.172924,0,0,79.3,82.39,0,0
1770649096.4228423,0,0,79.3,82.39,0,0
1770649096.672897,0,0,79.3,82.39,0,0
1770649096.9229915,0,0,79.3,82.39,0,0
1770649097.1731243,0,0,79.3,82.39,0,0
1770649097.4233296,0,0,79.3,82.39,0,0
1770649097.6734002,0,0,79.3,82.39,0,0
1770649097.9234083,0,0,79.3,82.39,0,0
1770649098.173516,0,0,79.3,82.39,0,0
1770649098.423529,0,0,79.3,82.39,0,0
1770649098.673638,0,0,79.3,82.39,0,0
1770649098.9237003,0,0,79.3,82.39,0,0
1770649099.1737125,0,0,79.3,82.39,0,0
1770649099.42383,0,0,79.3,82.39,0,0
1770649099.674134,0,0,79.3,82.39,0,0
1770649099.9240305,0,0,79.3,82.39,0,0
1770649100.174009,0,0,79.3,82.39,0,0
1770649100.424271,0,0,79.3,82.39,0,0
1770649100.6744976,0,0,79.3,82.39,0,0
1770649100.9244037,0,0,79.3,82.39,0,0
1770649101.174415,0,0,79.3,82.39,0,0
1770649101.4244566,0,0,79.3,82.39,0,0
1770649101.674995,-95,0,82.3,82.39,3,0.0
1770649101.924827,-73,0,82.73,82.39,0.4299,0.0
1770649102.1750185,-71,0,84.7,82.39,1.97,0.0
1770649102.4250176,-72,0,86.94,82.39,2.24,0.0
1770649102.6752841,-60,0,87.78,82.39,0.8415,0.0
1770649102.925178,-47,0,88.15,82.39,0.3691,0.0
1770649103.1753867,-48,0,89.67,82.39,1.5199,0.0
1770649103.4252627,-27,0,88.8,82.39,-0.87,0.0
1770649103.6757967,0,0,88.8,82.39,0,0
